Metric,Type,Mean,StdDev
rouge1,precision,0.4989192141985331,0.1499597791460981
rouge1,recall,0.23069539425442379,0.08371071577161607
rouge1,fmeasure,0.3103634297612689,0.0989170975178417
rouge2,precision,0.18703039906412738,0.1327154456570801
rouge2,recall,0.08648935526903208,0.06839987773710635
rouge2,fmeasure,0.11632096508903456,0.0866778456245861
rougeL,precision,0.3188107698472505,0.1244762652990051
rougeL,recall,0.14752746701844904,0.06681539827957854
rougeL,fmeasure,0.19832846134846085,0.0811694100333589
rougeLsum,precision,0.3935432943822443,0.1373418357639503
rougeLsum,recall,0.1819798860839605,0.07444296644308328
rougeLsum,fmeasure,0.24477955352917075,0.08983046042923036
