,precision,recall,fmeasure
rouge1,0.36835681739862924,0.2761332450788535,0.3071097153145227
rouge2,0.17617467581998475,0.1296997566826789,0.14511845509145097
rougeL,0.2535752574951181,0.18522172978780554,0.20854486576320067
rougeLsum,0.3093464027261937,0.2311547235332489,0.25730674259365616
