Metric,Type,Mean,StdDev
rouge1,precision,0.4077218284247127,0.1416029889736937
rouge1,recall,0.2690260352416627,0.10500655413519136
rouge1,fmeasure,0.3171791464189324,0.10878658705593622
rouge2,precision,0.1452802222714397,0.11816169672516535
rouge2,recall,0.09720728903992679,0.08607606801982721
rouge2,fmeasure,0.11384032887711609,0.09473851959833199
rougeL,precision,0.2666453546534273,0.11946911071270007
rougeL,recall,0.17694656592524877,0.08905263984741402
rougeL,fmeasure,0.207919151697107,0.09357286610011754
rougeLsum,precision,0.3244433867703128,0.1286162227105258
rougeLsum,recall,0.21470345751866154,0.09554742052082628
rougeLsum,fmeasure,0.2526959436808384,0.10015682173501576
