,precision,recall,fmeasure
rouge1,0.37731143996011834,0.23053178651530729,0.2676014575258827
rouge2,0.14336609425944974,0.07718278925285425,0.0932077964657546
rougeL,0.25370327018392536,0.15479890564909976,0.17856202154427428
rougeLsum,0.3319769301552046,0.1979441198119291,0.23192511758332368
