Metric,Type,Mean,StdDev
rouge1,precision,0.14901270748928494,0.10140257309110637
rouge1,recall,0.22866884813650046,0.1490334420598135
rouge1,fmeasure,0.1726083445431439,0.1094986335156275
rouge2,precision,0.034803296419381326,0.05122864909744376
rouge2,recall,0.053524391738245414,0.07698983362898121
rouge2,fmeasure,0.040419390951128904,0.05803994756892757
rougeL,precision,0.115656084041827,0.08357053086786688
rougeL,recall,0.1786383828705406,0.12569986428318355
rougeL,fmeasure,0.13436040410253372,0.0918524154004193
rougeLsum,precision,0.1287863784838933,0.09201604623071462
rougeLsum,recall,0.1987300399604231,0.13830964888462138
rougeLsum,fmeasure,0.14957387398520297,0.10101652971880591
