Metric,Type,Mean,StdDev
rouge1,precision,0.2644036511805413,0.15932134624818878
rouge1,recall,0.19798283281247614,0.10771877803322985
rouge1,fmeasure,0.21225397422987605,0.10773009718011803
rouge2,precision,0.06506044996813291,0.10526714579848138
rouge2,recall,0.04424152383381709,0.07043067256490508
rouge2,fmeasure,0.049086905471285254,0.07470811436046751
rougeL,precision,0.179893343251667,0.11999873191562135
rougeL,recall,0.13498638965122264,0.08070083907432271
rougeL,fmeasure,0.1438543142041154,0.0789018359679722
rougeLsum,precision,0.2068279916447589,0.13508046538378846
rougeLsum,recall,0.15463702978594285,0.08755118940445311
rougeLsum,fmeasure,0.16565212220054412,0.08998133432017373
