,precision,recall,fmeasure
rouge1,0.4859047808682481,0.2036648291858373,0.28492687398909694
rouge2,0.18632431183266282,0.07537800003619965,0.10639779907908524
rougeL,0.3235557096090743,0.1326671774145243,0.18667836754501602
rougeLsum,0.3947209616201103,0.1620626518440607,0.22799460334018748
