,precision,recall,fmeasure
rouge1,0.2886725298679276,0.30136575590197673,0.28151413253411817
rouge2,0.09011281272919464,0.1020485681734277,0.09122142638902155
rougeL,0.195098591978385,0.2089609577516852,0.19254284759286164
rougeLsum,0.2372795617171674,0.25248673055982385,0.2334979602354989
