Metric,Type,Mean,StdDev
rouge1,precision,0.262572912865137,0.12828629326421526
rouge1,recall,0.15094528895147,0.07887891702234044
rouge1,fmeasure,0.18594373125904728,0.0885599481665421
rouge2,precision,0.0655731699706462,0.0683886553921331
rouge2,recall,0.036213402662797566,0.036812604685569024
rouge2,fmeasure,0.04529091804659442,0.045316089474046965
rougeL,precision,0.19623354206932175,0.10627338459851755
rougeL,recall,0.11204331009990608,0.06269354511218848
rougeL,fmeasure,0.13831313009634633,0.07171136949010354
rougeLsum,precision,0.21947449923559795,0.11539568182431344
rougeLsum,recall,0.1258095541158783,0.0692916927533122
rougeLsum,fmeasure,0.15512542780423172,0.07882886819823594
