,precision,recall,fmeasure
rouge1,0.2595633750686016,0.2550286533205788,0.2533250061585714
rouge2,0.09512204424103739,0.0877636843062375,0.09043581068791151
rougeL,0.20576125384487756,0.19880537147617888,0.199350952088935
rougeLsum,0.24139385585378617,0.2359695431900401,0.2349805349833063
